NIS,Commune,Latitude,Longitude
1000,Belgique,,
2000,Région flamande,,
3000,Région wallonne,,
3001,Communauté germanophone ,,
4000,Région de Bruxelles-Capitale,,
11001,Aartselaar,51.1348012660001,4.38751608400003
11002,Anvers,51.221286117,4.39924669100003
11004,Boechout,51.163827473,4.49694328900006
11005,Boom,51.0876601250001,4.36584941200005
11007,Borsbeek,51.1944759900001,4.48501449700007
11008,Brasschaat,51.287499751,4.48610816400003
11009,Brecht,51.348474466,4.63989146
11013,Edegem,51.154531396,4.44542099700004
11016,Essen,51.4647294390001,4.47257248300002
11018,Hemiksem,51.1313285150001,4.32944319500007
11021,Hove (Anvers),51.1461586660001,4.47448000200006
11022,Kalmthout,51.3831074670001,4.47669061600004
11023,Kapellen (Anvers),51.308132088,4.43156756500002
11024,Kontich,51.135454178,4.44589259900005
11025,Lint,51.127127376,4.49388748900003
11029,Mortsel,51.1708518570001,4.45726961400004
11030,Niel,51.109254675,4.32604969
11035,Ranst,51.181369584,4.60388202500008
11037,Rumst,51.101383835,4.41188446500007
11038,Schelle,51.1267368100001,4.33596356900006
11039,Schilde,51.2416597770001,4.57853523
11040,Schoten,51.250814055,4.49800612
11044,Stabroek,51.334706635,4.36933285
11050,Wijnegem,51.227840288,4.52369729
11052,Wommelgem,51.20347787,4.52259056400004
11053,Wuustwezel,51.3920519210001,4.59920391500003
11054,Zandhoven,51.2143568500001,4.65985755700007
11055,Zoersel,51.2707981450001,4.64271460800006
11056,Zwijndrecht,51.2188462880001,4.32641790400004
11057,Malle,51.297155097,4.69335165600006
12002,Berlaar,51.117597909,4.65772748800003
12005,Bonheiden,51.025467415,4.5487479
12007,Bornem,51.100124952,4.24165156800007
12009,Duffel,51.09524486,4.50567924600006
12014,Heist-op-den-Berg,51.0758044520001,4.72833771600006
12021,Lierre,51.1309963460001,4.56993253200005
12025,Malines,51.0281377530001,4.48159618200003
12026,Nijlen,51.1604093700001,4.67027651200004
12029,Putte,51.057157734,4.62858057500006
12035,Sint-Katelijne-Waver,51.0674915720001,4.53583757600006
12040,Willebroek,51.063562447,4.36167955500002
12041,Puurs-Sint-Amands,51.076317944,4.27820595500003
13001,Arendonk,51.3205667240001,5.08665412500005
13002,Baerle-Duc,51.4400473490001,4.92708988600003
13003,Balen,51.1719738890001,5.17519547600006
13004,Beerse,51.3141164950001,4.85487541300006
13006,Dessel,51.239167815,5.11173267900006
13008,Geel,51.161328014,4.98697117700004
13010,Grobbendonk,51.1901779230001,4.73807242600003
13011,Herentals,51.1779164230001,4.84057773600006
13012,Herenthout,51.1405584610001,4.75527125300005
13013,Herselt,51.0527999890001,4.87992880600007
13014,Hoogstraten,51.4012260150001,4.76206580700006
13016,Hulshout,51.07576777,4.78813377400007
13017,Kasterlee,51.2412964310001,4.96823520300006
13019,Lille,51.2402423400001,4.82437936200006
13021,Meerhout,51.132452711,5.07723638200002
13023,Merksplas,51.357750239,4.86272836300003
13025,Mol,51.186599384,5.12133989400007
13029,Olen,51.1436351020001,4.85960555100007
13031,Oud-Turnhout,51.317376413,4.98220951500002
13035,Ravels,51.4114008650001,5.00574038400003
13036,Retie,51.2679109160001,5.08445370800007
13037,Rijkevorsel,51.3503354200001,4.75841784300007
13040,Turnhout,51.3231044710001,4.94711834100002
13044,Vorselaar,51.201731963,4.77384056100004
13046,Vosselaar,51.3119810900001,4.88824608300007
13049,Westerlo,51.0903640810001,4.91229195
13053,Laakdal,51.0754173230001,5.02086766300005
21001,Anderlecht,50.839080702,4.32904225500005
21002,Auderghem,50.816809479,4.42780421
21003,Berchem-Sainte-Agathe,50.8652188660001,4.29501993600007
21004,Bruxelles,50.8465942650001,4.35194324800005
21005,Etterbeek,50.8363413530001,4.38676556600007
21006,Evere,50.8724659310001,4.40339595700004
21007,Forest (Bruxelles-Capitale),50.8112783240001,4.31934276900006
21008,Ganshoren,50.8699028950001,4.30783533700003
21009,Ixelles,50.8325355160001,4.36783627
21010,Jette,50.875568871,4.32416507300007
21011,Koekelberg,50.8608237460001,4.33124787700007
21012,Molenbeek-Saint-Jean,50.855104543,4.33869938
21013,Saint-Gilles,50.824399633,4.34571327300006
21014,Saint-Josse-ten-Noode,50.8508397370001,4.36941739900004
21015,Schaerbeek,50.867764332,4.37377323500004
21016,Uccle,50.803547457,4.33329473900005
21017,Watermael-Boitsfort,50.7980540340001,4.41706159900002
21018,Woluwe-Saint-Lambert,50.843662205,4.42585443300004
21019,Woluwe-Saint-Pierre,50.8372580210001,4.42688458900005
23002,Asse,50.910197843,4.20061559900006
23003,Beersel,50.7508118040001,4.33581775700003
23009,Biévène,50.717456826,3.94192344500004
23016,Dilbeek,50.8478596190001,4.26354776
23023,Gammerages,50.7539139470001,3.97064763100002
23024,Gooik,50.794757309,4.11395297300004
23025,Grimbergen,50.932107414,4.37224544
23027,Hal (Hal-Vilvorde),50.7347783610001,4.23284727800007
23032,Herne,50.724382866,4.02880707600002
23033,Hoeilaart,50.7658995290001,4.47291638400003
23038,Kampenhout,50.9408723620001,4.55017928500007
23039,Kapelle-op-den-Bos,51.0130447820001,4.36037339800004
23044,Liedekerke,50.8703282550001,4.08439302800002
23045,Londerzeel,51.0004193600001,4.30163304600006
23047,Machelen (Hal-Vilvorde),50.9126315410001,4.43243529400007
23050,Meise,50.9508308380001,4.31156356
23052,Merchtem,50.95823274,4.23216899800002
23060,Opwijk,50.9702683150001,4.19186658
23062,Overijse,50.7698790150001,4.53510932800003
23064,Pepingen,50.759636819,4.15919417600003
